source;target;weight
J_SOIL_WATER_CONSERV;J_ENVIRON_QUAL;7
AQUAT_ECOL;FRESHWATER_BIOL;7
ORG_GEOCHEM;MAR_CHEM;7
GEOMORPHOLOGY;GLOBAL_PLANET_CHANGE;7
SEDIMENT_GEOL;SEDIMENTOLOGY;7
NEOTROP_ICHTHYOL;HYDROBIOLOGIA;7
ECOHYDROLOGY;RIVER_RES_APPL;7
WATER_SCI_TECHNOL;ENVIRON_MONIT_ASSESS;7
TRANS_AMER_FISH_SOC;CONSERV_GENET;7
ENVIRON_SCI_TECHNOL;WATER_RES;7
J_AM_WATER_RESOUR_ASSOC;J_HYDROL;7
ESTUAR_COAST_SHELF_SCI;ENVIRON_MONIT_ASSESS;7
J_HYDROL;ENVIRON_POLLUT;7
J_FISH_BIOL;RIVER_RES_APPL;7
CATENA;J_HYDROL;7
J_FISH_BIOL;FRESHWATER_BIOL;6
NORTH_AM_J_FISH_MANAGE;FISHERIES_MANAG_ECOL;6
SCI_TOTAL_ENVIR;WATER_RESOUR_RES;6
MAR_GEOLOGY;GEOMORPHOLOGY;6
ADV_WATER_RESOUR;J_HYDROL;6
SENSORS;J_ENVIRON_MANAGE;6
WATER_RESOUR_MANAG;ENVIRON_MODELL_SOFTW;6
RIVER_RES_APPL;HYDROL_PROCESS;6
FRESHWATER_BIOL;RIVER_RES_APPL;6
EARTH_SURF_PROCESS_LANDF;RIVER_RES_APPL;6
HYDROL_PROCESS;J_HYDROL_ENG;6
MAR_CHEM;CONT_SHELF_RES;6
MAR_CHEM;LIMNOL_OCEANOGR;6
GEOMORPHOLOGY;GEOLOGY;6
RIVER_RES_APPL;GEOMORPHOLOGY;6
AQUAT_CONSERV;RIVER_RES_APPL;6
GEOPHYS_RES_LETT;HYDROL_PROCESS;6
INT_REV_HYDROBIOL;FRESHWATER_BIOL;6
WATER_RESOUR_RES;J_HYDROL_ENG;6
ECOL_FRESHW_FISH;FRESHWATER_BIOL;6
FRESHWATER_BIOL;ENVIRON_MANAGE;6
NORTH_AM_J_FISH_MANAGE;CONSERV_GENET;6
J_FISH_BIOL;ICES_J_MAR_SCI;6
J_HYDROL;ENVIRON_MODELL_SOFTW;6
WATER_RESOUR_MANAG;HYDROL_PROCESS;6
J_HYDROL;J_HYDROL_ENG;6
BIOGEOSCIENCES;CONT_SHELF_RES;6
ECOL_FRESHW_FISH;NEOTROP_ICHTHYOL;6
BIOGEOSCIENCES;BIOGEOCHEMISTRY;6
ENVIRON_SCI_TECHNOL;LIMNOL_OCEANOGR;6
ECOHYDROLOGY;FRESHWATER_BIOL;6
ECOL_FRESHW_FISH;ENVIRON_BIOL_FISH;6
EARTH_SURF_PROCESS_LANDF;GEOLOGY;6
GEOMORPHOLOGY;J_HYDROL;6
SCI_TOTAL_ENVIR;HYDROBIOLOGIA;6
J_HYDROMETEOROL;J_HYDROL;6
EARTH_PLANET_SCI_LETT;GEOLOGY;6
MAR_CHEM;ORG_GEOCHEM;6
CAN_J_FISHERIES_AQUAT_SCI;RIVER_RES_APPL;6
J_HYDROL;APPL_GEOCHEM;6
GEOCHIM_COSMOCHIM_ACTA;LIMNOL_OCEANOGR;5
MAR_POLLUT_BULL;ENVIRON_POLLUT;5
ESTUARIES_COASTS;CONT_SHELF_RES;5
FRESHWATER_BIOL;J_APPL_ECOL;5
SCI_TOTAL_ENVIR;MAR_CHEM;5
CONT_SHELF_RES;GEOMORPHOLOGY;5
J_ENVIRON_QUAL;ENVIRON_SCI_TECHNOL;5
QUATERN_INT;GEOMORPHOLOGY;5
SCI_TOTAL_ENVIR;J_ENVIRON_MANAGE;5
HYDROL_PROCESS;CATENA;5
WATER_RES;J_HYDROL;5
ESTUAR_COAST_SHELF_SCI;LIMNOL_OCEANOGR;5
J_CLIMATE;GEOPHYS_RES_LETT;5
ENVIRON_POLLUT;ENVIRON_MONIT_ASSESS;5
NORTH_AM_J_FISH_MANAGE;CONSERV_BIOL;5
ECOHYDROLOGY;J_HYDROL;5
HYDROBIOLOGIA;NORTHWEST_SCI;5
EARTH_SURF_PROCESS_LANDF;EARTH-SCI_REV;5
WATER_RESOUR_RES;SEDIMENTOLOGY;5
LIMNOL_OCEANOGR;FRESHWATER_BIOL;5
J_HYDROL;GEOMORPHOLOGY;5
QUATERNARY_SCI_REV;GEOMORPHOLOGY;5
ESTUAR_COAST_SHELF_SCI;MAR_POLLUT_BULL;5
J_HYDROMETEOROL;J_CLIMATE;5
ECOL_FRESHW_FISH;RIVER_RES_APPL;5
STOCH_ENVIRON_RES_RISK_ASSESS;HYDROL_PROCESS;5
J_FRESHWATER_ECOL;J_GREAT_LAKES_RES;5
ENVIRON_MODELL_SOFTW;ECOL_MODEL;5
ENVIRON_TOXICOL_CHEM;J_HYDROL;5
EARTH_SURF_PROCESS_LANDF;GEOPHYS_RES_LETT;5
ENVIRON_MONIT_ASSESS;J_ENVIRON_MANAGE;5
HYDROGEOL_J;J_HYDROL;5
J_HYDROL;REMOTE_SENS_ENVIRON;5
HYDROL_PROCESS;RIVER_RES_APPL;5
MAR_FRESHWATER_RES;J_HYDROL;5
SCI_TOTAL_ENVIR;AMBIO;5
PALAEOGEOGR_PALAEOCLIMATOL;SEDIMENT_GEOL;5
BIOGEOSCIENCES;ENVIRON_POLLUT;5
MAR_POLLUT_BULL;ENVIRON_SCI_TECHNOL;5
ENVIRON_MANAGE;HYDROBIOLOGIA;5
J_HYDROL;HYDROGEOL_J;5
GEOL_SOC_AMER_BULL;GEOLOGY;5
WATER_RESOUR_RES;GLOBAL_PLANET_CHANGE;5
GEOPHYS_RES_LETT;J_HYDROL;5
LIMNOL_OCEANOGR;WATER_RESOUR_RES;5
WATER_RESOUR_MANAG;ENVIRON_POLLUT;5
CONSERV_BIOL;NEOTROP_ICHTHYOL;5
CAN_J_FISHERIES_AQUAT_SCI;ENVIRON_BIOL_FISH;5
AQUAT_SCI;GEOMORPHOLOGY;5
BIOL_CONSERV;FRESHWATER_BIOL;5
J_HYDROL;ENVIRON_SCI_TECHNOL;5
GEOMORPHOLOGY;QUATERN_INT;5
ENVIRON_POLLUT;WATER_RES;5
SCI_TOTAL_ENVIR;FRESHWATER_BIOL;5
J_HYDROL;J_ENVIRON_QUAL;5
EARTH_SURF_PROCESS_LANDF;ENVIRON_GEOL;5
QUATERNARY_SCI_REV;J_QUATERNARY_SCI;5
ENVIRON_MODELL_SOFTW;J_HYDROL;5
SCI_TOTAL_ENVIR;BIOGEOCHEMISTRY;5
MAR_POLLUT_BULL;ENVIRON_MONIT_ASSESS;5
GLOBAL_PLANET_CHANGE;QUATERN_INT;5
OECOLOGIA;FRESHWATER_BIOL;5
HYDROL_PROCESS;ENVIRON_SCI_TECHNOL;5
HYDROL_PROCESS;HYDROL_RES;5
CHEM_GEOL;HYDROL_PROCESS;5
WATER_RESOUR_MANAG;J_HYDROL;5
ENVIRON_MONIT_ASSESS;ENVIRON_POLLUT;5
ENVIRON_POLLUT;MAR_POLLUT_BULL;5
J_PHYS_OCEANOGR;GEOPHYS_RES_LETT;5
HYDROBIOLOGIA;ECOLOGY;5
J_MARINE_SYST;CONT_SHELF_RES;5
HYDROLOG_SCI_J;J_HYDROL;5
INT_REV_HYDROBIOL;HYDROBIOLOGIA;5
CAN_J_FISHERIES_AQUAT_SCI;CONSERV_GENET;5
SCI_TOTAL_ENVIR;ENVIRON_MONIT_ASSESS;5
NAT_HAZARDS_EARTH_SYST_SCI;J_HYDROL;5
J_HYDROL_ENG;HYDROLOG_SCI_J;5
FRESHWATER_BIOL;AQUAT_BOT;5
FISHERIES_MANAG_ECOL;J_APPL_ICHTHYOL;5
REMOTE_SENS_ENVIRON;J_HYDROL;4
ECOL_FRESHW_FISH;MAR_FRESHWATER_RES;4
NORTH_AM_J_FISH_MANAGE;FISHERIES;4
HYDROL_PROCESS;ENVIRON_GEOL;4
WATER_AIR_SOIL_POLLUT;ENVIRON_GEOL;4
HYDROL_PROCESS;GEOPHYS_RES_LETT;4
GEOCHIM_COSMOCHIM_ACTA;APPL_GEOCHEM;4
J_AM_WATER_RESOUR_ASSOC;WATER_RESOUR_RES;4
